Title,Publishing Date,Source
"Women’s health tech brand, Elvie, tops up Series C to $97M – TechCrunch","September 7, 2021",https://thereporterz.com/womens-health-tech-brand-elvie-tops-up-series-c-to-97m-techcrunch/
COVID recovery could include lingering mental health concerns,"June 22, 2021",https://thereporterz.com/covid-recovery-could-include-lingering-mental-health-concerns/
Health clouds are set to play a key role in healthcare innovation – TechCrunch,"June 9, 2021",https://thereporterz.com/health-clouds-are-set-to-play-a-key-role-in-healthcare-innovation-techcrunch/
"One of America’s largest hospital chains, Community Health Systems, has been suing patients during the pandemic","May 18, 2021",https://thereporterz.com/one-of-americas-largest-hospital-chains-community-health-systems-has-been-suing-patients-during-the-pandemic/
Dogs sniff out ornate box turtles for health study,"May 10, 2021",https://thereporterz.com/dogs-sniff-out-ornate-box-turtles-for-health-study/
"Mental Health Match helps people find the right therapist, and finds a new home in Portland","April 19, 2021",https://thereporterz.com/mental-health-match-helps-people-find-the-right-therapist-and-finds-a-new-home-in-portland/
Photos: Go inside the University of Washington’s new Hans Rosling Center for Population Health,"April 9, 2021",https://thereporterz.com/photos-go-inside-the-university-of-washingtons-new-hans-rosling-center-for-population-health/
Covid Surge in Michigan Alarms Health Experts,"April 1, 2021",https://thereporterz.com/covid-surge-in-michigan-alarms-health-experts/
Healthy snack ideas for WFH,"February 28, 2021",https://thereporterz.com/healthy-snack-ideas-for-wfh/
Nuance acquires Seattle digital health startup Saykara to boost healthcare AI products,"February 9, 2021",https://thereporterz.com/nuance-acquires-seattle-digital-health-startup-saykara-to-boost-healthcare-ai-products/
"Week in Review: Most popular stories on GeekWire for the week of Aug. 29, 2021","September 6, 2021",https://thereporterz.com/week-in-review-most-popular-stories-on-geekwire-for-the-week-of-aug-29-2021/
"Biden to survey damage in New York, New Jersey","September 5, 2021",https://thereporterz.com/biden-to-survey-damage-in-new-york-new-jersey/
"Covid-19 News: Live Updates on Variants, Vaccines and Booster Shots","September 4, 2021",https://thereporterz.com/covid-19-news-live-updates-on-variants-vaccines-and-booster-shots/
Best thermometers of 2021 | CNN Underscored,"September 4, 2021",https://thereporterz.com/best-thermometers-of-2021-cnn-underscored/
"Ida Latest News: N.Y. Region Deaths Rise, Six People Still Missing in N.J.","September 3, 2021",https://thereporterz.com/ida-latest-news-n-y-region-deaths-rise-six-people-still-missing-in-n-j/
"August jobs report: America added only 235,000 jobs in August","September 3, 2021",https://thereporterz.com/august-jobs-report-america-added-only-235000-jobs-in-august/
Apple leads the way as smartwatches dominate the wearable band market,"September 3, 2021",https://thereporterz.com/apple-leads-the-way-as-smartwatches-dominate-the-wearable-band-market/
Opinion | Has Texas Spelled the End of Abortion Rights in America?,"September 3, 2021",https://thereporterz.com/opinion-has-texas-spelled-the-end-of-abortion-rights-in-america/
98point6 CEO Robbie Cape is no longer with the company in abrupt shakeup at telemedicine startup,"September 2, 2021",https://thereporterz.com/98point6-ceo-robbie-cape-is-no-longer-with-the-company-in-abrupt-shakeup-at-telemedicine-startup/
Supreme Court Does Not Act on Texas’ Near-Total Abortion Ban,"September 2, 2021",https://thereporterz.com/supreme-court-does-not-act-on-texas-near-total-abortion-ban/
1 killed at Mt. Tabor High School,"September 1, 2021",https://thereporterz.com/1-killed-at-mt-tabor-high-school/
Ida Live Updates: The Latest on the Storm’s Aftermath in Louisiana,"September 1, 2021",https://thereporterz.com/ida-live-updates-the-latest-on-the-storms-aftermath-in-louisiana/
Hospitals see oxygen shortages; 80% of Californians have one dose,"September 1, 2021",https://thereporterz.com/hospitals-see-oxygen-shortages-80-of-californians-have-one-dose/
"Clickety, a ‘project management for people’ tool from Puppet founder Luke Kanies, is shutting down","August 31, 2021",https://thereporterz.com/clickety-a-project-management-for-people-tool-from-puppet-founder-luke-kanies-is-shutting-down/
Underscored’s favorite Amazon products August 2021,"August 31, 2021",https://thereporterz.com/underscoreds-favorite-amazon-products-august-2021/
Apple’s rumored iPhone satellite support may be for emergency calls and messages,"August 31, 2021",https://thereporterz.com/apples-rumored-iphone-satellite-support-may-be-for-emergency-calls-and-messages/
Caldor Fire Intensifies and Evacuations Are Ordered Near Lake Tahoe,"August 31, 2021",https://thereporterz.com/caldor-fire-intensifies-and-evacuations-are-ordered-near-lake-tahoe/
Hurricane Ida News: Storm Is Now a Category 4,"August 29, 2021",https://thereporterz.com/hurricane-ida-news-storm-is-now-a-category-4/
Google reportedly offered Netflix a special discount on Play Store fees,"August 29, 2021",https://thereporterz.com/google-reportedly-offered-netflix-a-special-discount-on-play-store-fees/
Your top questions about Covid-19 and vaccines,"August 29, 2021",https://thereporterz.com/your-top-questions-about-covid-19-and-vaccines/
"Junior Geek of the Month: Orion Razat wrote the book on STEM jokes, and has whale of a new idea","August 29, 2021",https://thereporterz.com/junior-geek-of-the-month-orion-razat-wrote-the-book-on-stem-jokes-and-has-whale-of-a-new-idea/
Judge removes ‘Compassion Seattle’ charter amendment from ballot; initiative aimed to curb homelessness crisis,"August 28, 2021",https://thereporterz.com/judge-removes-compassion-seattle-charter-amendment-from-ballot-initiative-aimed-to-curb-homelessness-crisis/
Intelligence Review Yields No Firm Conclusion on Origins of Virus,"August 27, 2021",https://thereporterz.com/intelligence-review-yields-no-firm-conclusion-on-origins-of-virus/
Best water bottles of 2021,"August 27, 2021",https://thereporterz.com/best-water-bottles-of-2021/
Death sentence for Charleston church shooter upheld,"August 26, 2021",https://thereporterz.com/death-sentence-for-charleston-church-shooter-upheld/
‘Star Trek: Lower Decks’ wants you to know it’s okay to like ‘Voyager’,"August 26, 2021",https://thereporterz.com/star-trek-lower-decks-wants-you-to-know-its-okay-to-like-voyager/
"In First Interview From Jail, an Upbeat Navalny Discusses Prison Life","August 26, 2021",https://thereporterz.com/in-first-interview-from-jail-an-upbeat-navalny-discusses-prison-life/
"Inspired by Airbnb, Hims & Hers offers 10,000 free medical visits to displaced Afghan refugees – TechCrunch","August 25, 2021",https://thereporterz.com/inspired-by-airbnb-hims-hers-offers-10000-free-medical-visits-to-displaced-afghan-refugees-techcrunch/
Delta variant in US has entered deadlier phase: COVID updates,"August 24, 2021",https://thereporterz.com/delta-variant-in-us-has-entered-deadlier-phase-covid-updates/
Zulily co-founders Darrell Cavens and Mark Vadon invest in ID verification tech startup Vouched,"August 24, 2021",https://thereporterz.com/zulily-co-founders-darrell-cavens-and-mark-vadon-invest-in-id-verification-tech-startup-vouched/
The Southwest’s looming water battle,"August 23, 2021",https://thereporterz.com/the-southwests-looming-water-battle/
Suing your way to the stars – TechCrunch,"August 22, 2021",https://thereporterz.com/suing-your-way-to-the-stars-techcrunch/
This Portland startup wants to build the ‘most inclusive and the most diverse’ kids media brand,"August 22, 2021",https://thereporterz.com/this-portland-startup-wants-to-build-the-most-inclusive-and-the-most-diverse-kids-media-brand/
A Dollar Per Doughnut Per Day: One Man’s Vaccination Quest,"August 21, 2021",https://thereporterz.com/a-dollar-per-doughnut-per-day-one-mans-vaccination-quest/
California judge finds Prop 22 gig worker measure unconstitutional,"August 21, 2021",https://thereporterz.com/california-judge-finds-prop-22-gig-worker-measure-unconstitutional/
"Facebook, Fearing Public Outcry, Shelved Earlier Report on Popular Posts","August 20, 2021",https://thereporterz.com/facebook-fearing-public-outcry-shelved-earlier-report-on-popular-posts/
Indonesian D2C insurance marketplace Lifepal raises $9M Series A – TechCrunch,"August 20, 2021",https://thereporterz.com/indonesian-d2c-insurance-marketplace-lifepal-raises-9m-series-a-techcrunch/
Covid Updates: Washington State Sets Highest Bar Yet for School Vaccine Mandates,"August 19, 2021",https://thereporterz.com/covid-updates-washington-state-sets-highest-bar-yet-for-school-vaccine-mandates/
Facebook cracks down on vaccine misinformation ‘superspreaders’,"August 19, 2021",https://thereporterz.com/facebook-cracks-down-on-vaccine-misinformation-superspreaders/
"Booster shots for Pfizer, Moderna COVID vaccines planned for September","August 18, 2021",https://thereporterz.com/booster-shots-for-pfizer-moderna-covid-vaccines-planned-for-september/
"Texas Gov. Abbott, other mask mandate critics test positive for COVID","August 18, 2021",https://thereporterz.com/texas-gov-abbott-other-mask-mandate-critics-test-positive-for-covid/
Twitter asks users to flag COVID-19 and election misinformation – TechCrunch,"August 17, 2021",https://thereporterz.com/twitter-asks-users-to-flag-covid-19-and-election-misinformation-techcrunch/
US expected to recommend vaccine boosters for all Americans,"August 17, 2021",https://thereporterz.com/us-expected-to-recommend-vaccine-boosters-for-all-americans/
Are we just ants in a death spiral? Researchers call for scientific studies of social media networks,"August 16, 2021",https://thereporterz.com/are-we-just-ants-in-a-death-spiral-researchers-call-for-scientific-studies-of-social-media-networks/
Silicon Valley should fight its stigma against military work – TechCrunch,"August 15, 2021",https://thereporterz.com/silicon-valley-should-fight-its-stigma-against-military-work-techcrunch/
Edtech’s next mission: Go everywhere – TechCrunch,"August 14, 2021",https://thereporterz.com/edtechs-next-mission-go-everywhere-techcrunch/
Best grill brushes of 2021,"August 14, 2021",https://thereporterz.com/best-grill-brushes-of-2021/
Texas Hospitals Are Already Overloaded. Doctors Are ‘Frightened by What Is Coming.’,"August 12, 2021",https://thereporterz.com/texas-hospitals-are-already-overloaded-doctors-are-frightened-by-what-is-coming/
Expedia Group pushes back its full return to the office to January 2022,"August 12, 2021",https://thereporterz.com/expedia-group-pushes-back-its-full-return-to-the-office-to-january-2022/
Tech Moves: The Riveter’s Amy Nelson to lead new SaksWorks venture; Funko’s leadership transition,"August 11, 2021",https://thereporterz.com/tech-moves-the-riveters-amy-nelson-to-lead-new-saksworks-venture-funkos-leadership-transition/
Opinion | Universal Masking Can Protect Students From Covid,"August 11, 2021",https://thereporterz.com/opinion-universal-masking-can-protect-students-from-covid/
More than 99.99% of fully vaccinated people have not had a severe breakthrough case of Covid-19,"August 9, 2021",https://thereporterz.com/more-than-99-99-of-fully-vaccinated-people-have-not-had-a-severe-breakthrough-case-of-covid-19/
Pediatric hospitals filling up as delta variant surges: COVID updates,"August 9, 2021",https://thereporterz.com/pediatric-hospitals-filling-up-as-delta-variant-surges-covid-updates/
"Amid COVID surge, Amazon to require masks for warehouse workers regardless of vaccination status","August 8, 2021",https://thereporterz.com/amid-covid-surge-amazon-to-require-masks-for-warehouse-workers-regardless-of-vaccination-status/
"In-app events hit the App Store, TikTok tries Stories, Apple reveals new child safety plan – TechCrunch","August 8, 2021",https://thereporterz.com/in-app-events-hit-the-app-store-tiktok-tries-stories-apple-reveals-new-child-safety-plan-techcrunch/
Even a social network for doctors is struggling with vaccine misinformation,"August 7, 2021",https://thereporterz.com/even-a-social-network-for-doctors-is-struggling-with-vaccine-misinformation/
Gillmor Gang: Time Delay – TechCrunch,"August 7, 2021",https://thereporterz.com/gillmor-gang-time-delay-techcrunch/
"After trying to back out, Hill-rom will proceed with $375M deal to acquire Seattle’s Bardy Diagnostics","August 6, 2021",https://thereporterz.com/after-trying-to-back-out-hill-rom-will-proceed-with-375m-deal-to-acquire-seattles-bardy-diagnostics/
USA’s Nelly Korda leads after 3 rounds of women’s golf tournament,"August 6, 2021",https://thereporterz.com/usas-nelly-korda-leads-after-3-rounds-of-womens-golf-tournament/
Underscored’s favorite Amazon products of July,"August 5, 2021",https://thereporterz.com/underscoreds-favorite-amazon-products-of-july/
Opinion | Alex Azar: Americans Need to Get a Covid-19 Vaccine,"August 4, 2021",https://thereporterz.com/opinion-alex-azar-americans-need-to-get-a-covid-19-vaccine/
Delta variant now accounts for more than 93% of Covid-19 cases in the US,"August 4, 2021",https://thereporterz.com/delta-variant-now-accounts-for-more-than-93-of-covid-19-cases-in-the-us/
"Opinion | ‘Freedom,’ Florida and the Delta Variant Disaster","August 3, 2021",https://thereporterz.com/opinion-freedom-florida-and-the-delta-variant-disaster/
"How COVID vaccine, face masks pit personal liberty vs. the common good","August 2, 2021",https://thereporterz.com/how-covid-vaccine-face-masks-pit-personal-liberty-vs-the-common-good/
"Wildfire-ravaged West now faces thunderstorms, possible flooding","August 2, 2021",https://thereporterz.com/wildfire-ravaged-west-now-faces-thunderstorms-possible-flooding/
Unvaccinated Las Vegas man died regretting not getting vaccine: fiancé,"August 1, 2021",https://thereporterz.com/unvaccinated-las-vegas-man-died-regretting-not-getting-vaccine-fiance/
Editors favorite beauty products they can’t live without,"July 30, 2021",https://thereporterz.com/editors-favorite-beauty-products-they-cant-live-without/
Strippers Find Community on TikTok,"July 29, 2021",https://thereporterz.com/strippers-find-community-on-tiktok/
Apple MagSafe Battery Pack review,"July 29, 2021",https://thereporterz.com/apple-magsafe-battery-pack-review/
Facebook will require its US office workforce to be vaccinated,"July 29, 2021",https://thereporterz.com/facebook-will-require-its-us-office-workforce-to-be-vaccinated/
"Opinion | What if January 6 Wasn’t a Coup Attempt, General Milley?","July 28, 2021",https://thereporterz.com/opinion-what-if-january-6-wasnt-a-coup-attempt-general-milley/
Vaccinated people advised to wear indoors again,"July 27, 2021",https://thereporterz.com/vaccinated-people-advised-to-wear-indoors-again/
‘Can I Actually Sing?’ Meet New York City Ballet’s Songbird,"July 27, 2021",https://thereporterz.com/can-i-actually-sing-meet-new-york-city-ballets-songbird/
"After Covid Diagnosis, a Conservative Radio Host Sends a New Message","July 26, 2021",https://thereporterz.com/after-covid-diagnosis-a-conservative-radio-host-sends-a-new-message/
"CDC reconsiders mask guidance; mixing AstraZeneca, Pfizer shots study","July 26, 2021",https://thereporterz.com/cdc-reconsiders-mask-guidance-mixing-astrazeneca-pfizer-shots-study/
Wildfires scorch Western US as homes burn and thousands threatened,"July 25, 2021",https://thereporterz.com/wildfires-scorch-western-us-as-homes-burn-and-thousands-threatened/
Why Some Americans Are Still Hesitant to Get Vaccinated,"July 25, 2021",https://thereporterz.com/why-some-americans-are-still-hesitant-to-get-vaccinated/
India’s most valuable startup buys US-based digital reading platform Epic for $500M – TechCrunch,"July 22, 2021",https://thereporterz.com/indias-most-valuable-startup-buys-us-based-digital-reading-platform-epic-for-500m-techcrunch/
J&J may not be as effective against delta variant: COVID updates,"July 21, 2021",https://thereporterz.com/jj-may-not-be-as-effective-against-delta-variant-covid-updates/
Twitter Suspends Marjorie Taylor Greene for Posting Coronavirus Misinformation,"July 20, 2021",https://thereporterz.com/twitter-suspends-marjorie-taylor-greene-for-posting-coronavirus-misinformation/
Pediatrics experts recommend all wear masks at schools: COVID news,"July 19, 2021",https://thereporterz.com/pediatrics-experts-recommend-all-wear-masks-at-schools-covid-news/
adyn founder Elizabeth Ruzzo is on a mission to make scientific discovery more inclusive,"July 17, 2021",https://thereporterz.com/adyn-founder-elizabeth-ruzzo-is-on-a-mission-to-make-scientific-discovery-more-inclusive/
VanMoof X3 e-bike review: Transportation revelation – TechCrunch,"July 17, 2021",https://thereporterz.com/vanmoof-x3-e-bike-review-transportation-revelation-techcrunch/
Native American activists urge Biden to hear them out on sacred lands,"July 17, 2021",https://thereporterz.com/native-american-activists-urge-biden-to-hear-them-out-on-sacred-lands/
The Morning After: Valve made a $399 handheld gaming PC,"July 16, 2021",https://thereporterz.com/the-morning-after-valve-made-a-399-handheld-gaming-pc/
Tech Moves: Ex-Tableau sales chief Kelly Breslin Wright joins Gong; Slalom expands board; more,"July 16, 2021",https://thereporterz.com/tech-moves-ex-tableau-sales-chief-kelly-breslin-wright-joins-gong-slalom-expands-board-more/
Dr. Sanjay Gupta: The importance of being vaccinated,"July 14, 2021",https://thereporterz.com/dr-sanjay-gupta-the-importance-of-being-vaccinated/
Twitter now lets you change who can reply to your tweets,"July 14, 2021",https://thereporterz.com/twitter-now-lets-you-change-who-can-reply-to-your-tweets/
Why Am I Waking Up at 3 A.M.? Ways to Fight Insomnia and Fall Back Asleep,"July 14, 2021",https://thereporterz.com/why-am-i-waking-up-at-3-a-m-ways-to-fight-insomnia-and-fall-back-asleep/
Meet the 4 new startups joining a fintech incubator run by BECU and UW in Seattle,"July 14, 2021",https://thereporterz.com/meet-the-4-new-startups-joining-a-fintech-incubator-run-by-becu-and-uw-in-seattle/
"J&J, AstraZeneca may alter COVID vaccines because of blood clots","July 13, 2021",https://thereporterz.com/jj-astrazeneca-may-alter-covid-vaccines-because-of-blood-clots/
"Covid-19 News: Variants, Vaccines, and Updates on Restrictions","July 12, 2021",https://thereporterz.com/covid-19-news-variants-vaccines-and-updates-on-restrictions/
Live Covid-19 Vaccines and Delta Variant News Updates,"July 11, 2021",https://thereporterz.com/live-covid-19-vaccines-and-delta-variant-news-updates/
Virgin Galactic launch set for Sunday,"July 10, 2021",https://thereporterz.com/virgin-galactic-launch-set-for-sunday/
TikTok will automate video removals for nudity and violence,"July 9, 2021",https://thereporterz.com/tiktok-will-automate-video-removals-for-nudity-and-violence/
Pfizer booster extends COVID vaccine protection: Latest updates,"July 9, 2021",https://thereporterz.com/pfizer-booster-extends-covid-vaccine-protection-latest-updates/
Covid News: Pfizer and BioNTech Are Developing a Vaccine That Targets Delta Variant,"July 9, 2021",https://thereporterz.com/covid-news-pfizer-and-biontech-are-developing-a-vaccine-that-targets-delta-variant/
Relish launches subscriber plan Relish+ with access to more online recipes and meal-planning help,"July 8, 2021",https://thereporterz.com/relish-launches-subscriber-plan-relish-with-access-to-more-online-recipes-and-meal-planning-help/
"As Delta Spreads, Nevada Sees a Surge","July 8, 2021",https://thereporterz.com/as-delta-spreads-nevada-sees-a-surge/
"Video pitch decks, Didi’s regulatory struggles, Nothing CEO interview – TechCrunch","July 6, 2021",https://thereporterz.com/video-pitch-decks-didis-regulatory-struggles-nothing-ceo-interview-techcrunch/
"Colorado, Oklahoma hold phone campaigns to boost COVID vaccinations","June 30, 2021",https://thereporterz.com/colorado-oklahoma-hold-phone-campaigns-to-boost-covid-vaccinations/
Covid News: U.S. Supreme Court Leaves Federal Moratorium on Evictions Intact,"June 30, 2021",https://thereporterz.com/covid-news-u-s-supreme-court-leaves-federal-moratorium-on-evictions-intact/
Biotech firm Athira Pharma hit by class action lawsuits following image manipulation claims,"June 29, 2021",https://thereporterz.com/biotech-firm-athira-pharma-hit-by-class-action-lawsuits-following-image-manipulation-claims/
"Covid Updates: W.H.O. Urges Masking for the Vaccinated, in Split With C.D.C.","June 29, 2021",https://thereporterz.com/covid-updates-w-h-o-urges-masking-for-the-vaccinated-in-split-with-c-d-c/
COVID delta variant mutation reported in India; TSA sees travel uptick,"June 28, 2021",https://thereporterz.com/covid-delta-variant-mutation-reported-in-india-tsa-sees-travel-uptick/
