Title,Source
Mental Healthcare Remembered as Another Silly Quarantine Project,https://reductress.com/post/mental-healthcare-remembered-as-another-silly-quarantine-project/
I Was Denied Treatment Because Our Healthcare System is Broken and Also My Nurse Was Filming a TikTok,https://reductress.com/post/i-was-denied-treatment-because-our-healthcare-system-is-broken-and-also-my-nurse-was-filming-a-tiktok/
How to Heal Yourself With Guns When You Don’t Have Access to Healthcare,https://reductress.com/post/how-to-heal-yourself-with-guns-when-you-dont-have-access-to-healthcare/
Trans Patient With Broken Arm Spends Half of ER Intake Answering Questions About Gender Identity,https://reductress.com/post/trans-patient-with-broken-arm-spends-half-of-er-intake-answering-questions-about-gender-identity/
Man’s Insurance Plan Only Covers Free Therapy From Girlfriend,https://reductress.com/post/mans-insurance-plan-only-covers-free-therapy-from-girlfriend/
"It’s Not Illegal to Get an Abortion, It’s Just Impossible Because of Laws",https://reductress.com/post/its-not-illegal-to-get-an-abortion-its-just-impossible-because-of-laws/
"Biden Assures Nation He’ll Send $2,000 Stimulus as Soon as His Direct Deposit Hits",https://reductress.com/post/biden-assures-nation-hell-send-2000-stimulus-as-soon-as-his-direct-deposit-hits/
CDC Recommends People Who Pronounce It ‘Onvelope’ Be Vaccinated Last,https://reductress.com/post/cdc-recommends-people-who-pronounce-it-onvelope-be-vaccinated-last/
CDC Panel of Experts Will Determine Vaccine Priority Based on Results of Beauty Pageant,https://reductress.com/post/cdc-panel-of-experts-will-determine-vaccine-priority-based-on-results-of-beauty-pageant/
"Pandemic ‘Stigmatizing’, Reports the Pale and Fucked-Up Looking   ",https://reductress.com/post/pandemic-stigmatizing-reports-the-pale-and-fucked-up-looking/
Annoying White American Thinking About Becoming Annoying White Canadian,https://reductress.com/post/annoying-white-american-thinking-about-becoming-annoying-white-canadian/
Friend Who’s Uncomfortable Talking Politics Totally Cool Discussing How She Got Railed Last Night,https://reductress.com/post/friend-whos-uncomfortable-talking-politics-totally-cool-discussing-how-she-got-railed-last-night/
Wow! These Politicians Are Dunking On Republicans Instead of Proposing Substantive Reform   ,https://reductress.com/post/wow-these-politicians-are-dunking-on-republicans-instead-of-proposing-substantive-reform/
"Still No Vaccine, But You Are Allowed to Engage in Riskier Behavior",https://reductress.com/post/still-no-vaccine-but-you-are-allowed-to-engage-in-riskier-behavior/
White Privileges You Could Go Enjoy Instead of Making Yourself the Center of the Racial Justice Movement,https://reductress.com/post/white-privileges-you-could-go-enjoy-instead-of-making-yourself-the-center-of-the-racial-justice-movement/
5 Simple Ways To Make The Devastating Global Pandemic About You Missing Your Birthday,https://reductress.com/post/5-simple-ways-to-make-the-devastating-global-pandemic-about-you-missing-your-birthday/
DUDE CORNER: I’m Standing In Solidarity With Nurses By Not Using Protection,https://reductress.com/post/dude-corner-im-standing-in-solidarity-with-nurses-by-not-using-protection/
I Support Essential Workers by Aggressively Liking Videos of Them Dancing,https://reductress.com/post/i-support-essential-workers-by-aggressively-liking-videos-of-them-dancing/
"Every Night, This Town Thanks a Doctor by Fucking Her Brains Out",https://reductress.com/post/every-night-this-town-thanks-a-doctor-by-fucking-her-brains-out/
It’s Crucial That We as a Nation Not Let This Pandemic Stop Us From Giving Me Attention   ,https://reductress.com/post/its-crucial-that-we-as-a-nation-not-let-this-pandemic-stop-us-from-giving-me-attention/
How to Cum Hard Enough to Envision the End of Capitalism,https://reductress.com/post/how-to-cum-hard-enough-to-envision-the-end-of-capitalism/
I Went As A Nurse For Halloween in Third Grade – Here’s What You Need To Know About Coronavirus,https://reductress.com/post/i-went-as-a-nurse-for-halloween-in-third-grade-heres-what-you-need-to-know-about-coronavirus/
"Now That I’m the Happiest and Most Stable I’ve Ever Been, It’s Time to See a Therapist",https://reductress.com/post/now-that-im-the-happiest-and-most-stable-ive-ever-been-its-time-to-see-a-therapist/
The Best Online Therapy Apps Your Family Will Tell You Are for White Folks,https://reductress.com/post/the-best-online-therapy-apps-your-family-will-tell-you-are-for-white-folks/
"I Support Medicare For All Except Brendan, May He Perish In Haste",https://reductress.com/post/i-support-medicare-for-all-except-brendan-may-he-perish-in-haste/
Here’s The Feminist Reason I’m Not Giving My Boyfriend a Kidney    ,https://reductress.com/post/heres-the-feminist-reason-im-not-giving-my-boyfriend-a-kidney/
Incredible! Everything This Woman Has Accomplished Was to Spite That One Bitch From 9th Grade,https://reductress.com/post/incredible-everything-this-woman-has-accomplished-was-to-spite-that-one-bitch-from-9th-grade/
The 6 Hottest Up-and-Coming Cities For Millennials Who Cherish Bodily Autonomy,https://reductress.com/post/the-6-hottest-up-and-coming-cities-for-millennials-who-cherish-body-autonomy/
Why I’m Not Having Kids Unless Someone Leaves a Baby On My Doorstep,https://reductress.com/post/why-im-not-having-kids-unless-someone-leaves-a-baby-on-my-doorstep/
"Beto Made Me Wet, but Ocasio-Cortez is FLOODING My Pants",https://reductress.com/post/beto-made-me-wet-but-ocasio-cortez-is-flooding-my-pants/
"Yasss! Black Women are KWEENS, Unless They’re Talking About Something I Can’t Relate To",https://reductress.com/post/yasss-black-women-are-kweens-unless-theyre-talking-about-something-i-cant-relate-to/
