Title,Source
JAPANESE PM DRINKS WATER FROM FUKUSHIMA NUCLEAR PLANT TO REASSURE WORLD THAT RADIATION IS ‘SAFE AND TASTY’,https://worldnewsdailyreport.com/japanese-pm-drinks-water-from-fukushima-nuclear-plant-to-reassure-world-that-radiation-is-safe-and-tasty/
"PORN STAR CLAIMS ‘DAILY FACIAL CUM SHOTS’ CAN REDUCE SPREAD OF COVID-19, OFFERS BETTER PROTECTION THAN MASKS",https://worldnewsdailyreport.com/porn-star-claims-daily-facial-cum-shots-can-reduce-spread-of-covid-19-offers-better-protection-than-masks/
WORLD HEALTH ORGANIZATION SAYS COVID-19 UNLIKELY TO HAVE LEAKED FROM CHINESE PENIS ENLARGEMENT FACILITY,https://worldnewsdailyreport.com/who-says-covid-19-unlikely-to-have-leaked-from-chinese-penis-enlargement-facility/
NEW ZEALAND FARMER JAILED AFTER SEXUALLY TRANSMITTING CORONAVIRUS TO FLOCK OF 400 SHEEP,https://worldnewsdailyreport.com/new-zealand-farmer-jailed-after-sexually-transmitting-coronavirus-to-flock-of-400-sheep/
500-POUND MAN SPREAD CORONAVIRUS TO 372 PASSENGERS AFTER WET FARTING IN AIRPLANE ON FLIGHT TO CANCUN,https://worldnewsdailyreport.com/500-pound-man-spread-coronavirus-to-372-passengers-after-wet-farting-in-airplane-during-flight-to-cancun/
UTAH FAMILY CLAIMS 15-YEAR-OLD SON TURNED GAY AFTER 5G CELL PHONE TOWER WAS INSTALLED NEAR HOME,https://worldnewsdailyreport.com/utah-family-claims-15-year-old-son-turned-gay-after-5g-cell-phone-tower-was-installed-near-home/
11-YEAR-OLD GIRL HOSPITALIZED AFTER KISSING HUNDREDS OF FROGS IN SEARCH OF PRINCE CHARMING,https://worldnewsdailyreport.com/11-year-old-girl-hospitalized-after-kissing-hundreds-of-frogs-in-search-of-prince-charming/
MORGUE EMPLOYEE CONTRACTED CORONAVIRUS AFTER SEX WITH INFECTED CORPSES,https://worldnewsdailyreport.com/morgue-employee-contracted-coronavirus-after-sex-with-infected-corpses/
COVID-19 OUTBREAK AT LAS VEGAS STRIP CLUB AFTER STRIPPER SQUIRTED VAGINAL FLUIDS ONTO EIGHTEEN CLIENTS,https://worldnewsdailyreport.com/covid-19-outbreak-at-las-vegas-strip-club-after-stripper-squirted-vaginal-fluids-onto-eighteen-clients/
OHIO MAN HAS MIRACULOUS RECOVERY AFTER CONTRACTING COVID-19 DURING SEX WITH INFECTED DOG,https://worldnewsdailyreport.com/ohio-man-has-miraculous-recovery-after-contracting-covid-19-during-sex-with-infected-dog/
SAN FRANCISCO EPIDEMIOLOGIST WARNS CORONAVIRUS CAN BE TRANSMITTED THROUGH ANAL SEX,https://worldnewsdailyreport.com/san-francisco-epidemiologist-warns-coronavirus-can-be-transmitted-through-anal-sex/
NASA EXPERT PART OF SETI PROGRAM CLAIMS ALIENS TRIED TO WARN US ABOUT THE COVID-19 PANDEMIC,https://worldnewsdailyreport.com/nasa-expert-part-of-seti-program-claims-aliens-tried-to-warn-us-about-the-covid-19-pandemic/
SAN FRANCISCO: THOUSANDS INFECTED BY CORONAVIRUS AFTER HOMELESS MAN DEFECATED IN DRINKING FOUNTAIN,https://worldnewsdailyreport.com/san-francisco-thousands-infected-by-coronavirus-after-homeless-man-defecated-in-drinking-fountain/
COVID-19: AFGHAN GOVERNMENT FORCES WOMEN TO WEAR THREE LAYERS OF BURQAS TO STOP THE CONTAGION,https://worldnewsdailyreport.com/covid-19-afghan-government-forces-women-to-wear-three-layers-of-burqas-to-stop-the-contagion/
"MEXICO: WOMAN INFECTED WITH COVID-19 GIVES BIRTH TO TWINS, NAMES THEM CORONA AND VIRUS",https://worldnewsdailyreport.com/mexico-woman-infected-with-covid-19-gives-birth-to-twins-names-them-corona-and-virus/
COVID-19: CHINESE HEALTH AUTHORITIES CONFIRM PATIENT ZERO ‘HAD SEX WITH BATS’,https://worldnewsdailyreport.com/covid-19-chinese-health-authorities-confirm-patient-zero-had-sex-with-bats/
SPANISH AUTHORITIES ASK PREGNANT WOMEN TO ABSTAIN FROM GIVING BIRTH UNTIL THE END OF THE PANDEMIC,https://worldnewsdailyreport.com/spanish-authorities-ask-pregnant-women-to-abstain-from-giving-birth-until-the-end-of-the-pandemic/
"‘CORONAVIRUS HASN’T CHANGED MY LIFE A BIT,’ SAYS MAN WHO HAS LIVED IN BUBBLE SUIT SINCE CHILDHOOD",https://worldnewsdailyreport.com/coronavirus-hasnt-changed-my-life-a-bit-says-man-who-has-lived-in-bubble-suit-since-childhood/
MAN HOSPITALIZED AFTER DRINKING 16 GALLONS OF HAND SANITIZER TO PROTECT HIMSELF FROM CORONAVIRUS,https://worldnewsdailyreport.com/man-hospitalized-after-drinking-16-gallons-of-hand-sanitizer-to-protect-himself-from-coronavirus/
"MAN ARRESTED AT THE FRANCE-GERMANY BORDER FOR SMUGGLING 2,500 SURGICAL MASKS IN HIS RECTAL CAVITY",https://worldnewsdailyreport.com/man-arrested-at-the-france-germany-border-for-smuggling-2500-surgical-masks-in-his-rectal-cavity/
ITALY: 21-YEAR-OLD MAN CURED HIMSELF OF COVID-19 BY DRINKING HIS OWN SEMEN,https://worldnewsdailyreport.com/italy-21-year-old-man-cured-himself-of-covid-19-by-drinking-his-own-semen/
PAPUA NEW GUINEA: ENTIRE CANNIBAL TRIBE CATCHES CORONAVIRUS AFTER EATING INFECTED CHINESE PROSPECTOR,https://worldnewsdailyreport.com/papua-new-guinea-entire-cannibal-tribe-catches-coronavirus-after-eating-infected-chinese-prospector/
MAN HOSPITALIZED AFTER HE BELIEVED EATING TOILET PAPER COULD CURE HIM FROM CORONAVIRUS,https://worldnewsdailyreport.com/man-hospitalized-after-he-believed-eating-toilet-paper-could-cure-him-from-coronavirus/
"OHIO: HUNDREDS OF CUSTOMERS FIGHT OVER TOILET PAPER IN A WALMART STORE; 3 DEAD, 174 INJURED, 213 ARRESTS",https://worldnewsdailyreport.com/ohio-hundreds-of-customers-fight-over-toilet-paper-in-a-walmart-store-3-dead-174-injured-213-arrests/
A COUPLE OF “VIRUS RIGHTS” ACTIVISTS VOLUNTARILY CATCHES CORONAVIRUS TO SAVE IT FROM W.H.O. GENOCIDE,https://worldnewsdailyreport.com/a-couple-of-virus-rights-activists-voluntarily-catches-coronavirus-to-save-it-from-w-h-o-genocide/
CHINESE DOCTOR WARNS ONLY WAY TO ERADICATE CORONAVIRUS IS TO “STOP HAVING SEX WITH CHICKENS”,https://worldnewsdailyreport.com/chinese-doctor-warns-only-way-to-eradicate-coronavirus-is-to-stop-having-sex-with-chickens/
"BURGLAR SNORTS DRIED SPERM THINKING IT WAS COCAINE, CONTRACTS HERPES AND SYPHILIS",https://worldnewsdailyreport.com/burglar-snorts-dried-sperm-thinking-it-was-cocaine-contracts-herpes-and-syphilis/
VEGAN WOMAN HAD UNPROTECTED SEX WITH DOZENS OF BUTCHERS TO GIVE THEM AIDS,https://worldnewsdailyreport.com/vegan-woman-had-unprotected-sex-with-dozens-of-butchers-to-give-them-aids/
MUSEUM EMPLOYEE CONTRACTS 150-MILLION-YEAR-OLD STD AFTER SEX WITH STEGOSAURUS EGG,https://worldnewsdailyreport.com/museum-employee-contracts-150-million-year-old-std-after-sex-with-stegosaurus-egg/
SAN FRANCISCO HOMELESS MAN DIES FROM RABIES AFTER PERFORMING ORAL SEX ON STRAY DOG,https://worldnewsdailyreport.com/san-francisco-homeless-man-dies-from-rabies-after-performing-oral-sex-on-stray-dog/
TEXAS: 14-YEAR-OLD BOY MIRACULOUSLY CURED OF HOMOSEXUALITY AFTER ELECTROSHOCK THERAPY,https://worldnewsdailyreport.com/texas-14-year-old-boy-miraculously-cured-of-homosexuality-after-electroshock-therapy/
MAN SUES STRIP CLUB WHERE HE CONTRACTED SYPHILIS AFTER LICKING DANCE POLE,https://worldnewsdailyreport.com/man-sues-strip-club-where-he-contracted-syphilis-after-licking-dance-pole/
MAN CONTRACTS FLESH-EATING DISEASE AFTER EATING BOYFRIEND’S ANUS WHILE HE HAD DIARRHEA,https://worldnewsdailyreport.com/man-contracts-flesh-eating-disease-after-eating-boyfriends-anus-while-he-had-diarrhea/
HAWAII: SCUBA DIVER HOSPITALIZED AFTER HIS PENIS GETS STUCK IN GIANT CLAM,https://worldnewsdailyreport.com/hawaii-scuba-diver-hospitalized-after-his-penis-gets-stuck-in-giant-clam/
FLORIDA MAN FALLS VICTIM TO LEPROSY AFTER SEX WITH ARMADILLO,https://worldnewsdailyreport.com/florida-man-falls-victim-to-leprosy-after-sex-with-armadillo/
RUSSIAN SCIENTISTS DISCOVER CURE TO HOMOSEXUALITY,https://worldnewsdailyreport.com/russian-scientists-discover-cure-to-homosexuality/
ALASKA: CHEATING HUSBAND EMASCULATED AFTER WIFE HID BEAR TRAP INSIDE OF HER VAGINA,https://worldnewsdailyreport.com/alaska-cheating-husband-emasculated-after-wife-hid-bear-trap-inside-of-her-vagina/
WOMAN FALLS PREGNANT AFTER SEXUAL INTERCOURSE WITH USED MALE SEX DOLL SHE ORDERED ON EBAY,https://worldnewsdailyreport.com/woman-falls-pregnant-after-sexual-intercourse-with-used-male-sex-doll-she-ordered-on-ebay/
WOMAN SUES DOCTOR FOR $2M AFTER HE ACCIDENTALLY PERFORMED CIRCUMCISION ON HER LARGE CLITORIS,https://worldnewsdailyreport.com/woman-sues-doctor-for-2m-after-he-accidentally-performed-circumcision-on-her-large-clitoris/
11-YEAR-OLD GIRL HOSPITALIZED AFTER KISSING HUNDREDS OF FROGS IN SEARCH OF PRINCE CHARMING,https://worldnewsdailyreport.com/11-year-old-girl-hospitalized-after-kissing-hundreds-of-frogs-in-search-of-prince-charming/
MIAMI WOMAN MUGS CONVENIENCE STORE WITH BLOODY TAMPON INFECTED WITH CORONAVIRUS,https://worldnewsdailyreport.com/miami-woman-mugs-convenience-store-with-bloody-tampon-infected-with-coronavirus/
TEEN SUFFERS BROKEN NECK AFTER GIVING BLOW JOBS TO SEVENTEEN MEN TO CELEBRATE 17TH BIRTHDAY,https://worldnewsdailyreport.com/teen-suffers-broken-neck-after-giving-blow-job-to-seventeen-men-to-celebrate-17th-birthday/
MIAMI STRIPPER ARRESTED FOR SQUIRTING VAGINAL FLUIDS AT POLICE OFFICERS IN SELF-DEFENSE,https://worldnewsdailyreport.com/miami-stripper-arrested-for-squirting-vaginal-fluids-at-police-officers-in-self-defense/
